Normals_0,Normals_1,Normals_2,Points_0,Points_1,Points_2
-3.45656e-05,-0.996578,0.0826586,2.82312,-0.800077,2.01335
0.0768615,-0.996944,0.0139701,2.83314,-0.799325,2.01188
0.0109885,-0.99728,0.0728829,2.87657,-0.795117,2.07317
0.0768623,-0.996944,0.0139645,2.85525,-0.797666,2.00863
-0.116075,-0.975919,0.184684,2.84033,-0.789954,2.10513
-0.251878,-0.919629,0.301397,2.80478,-0.77731,2.13586
-0.372108,-0.836633,0.401972,2.77155,-0.755493,2.16375
-0.458252,-0.753118,0.472036,2.74111,-0.726837,2.18858
-0.520732,-0.675945,0.521475,2.71341,-0.693486,2.21057
-0.561621,-0.615447,0.552997,2.68828,-0.656679,2.22998
-0.589718,-0.567951,0.574165,2.66498,-0.617812,2.24759
-0.613969,-0.522056,0.59203,2.64324,-0.577413,2.26367
-0.638381,-0.470042,0.609532,2.62312,-0.535599,2.27818
-0.663931,-0.407268,0.627159,2.60494,-0.492324,2.29084
-0.686355,-0.342079,0.641793,2.58912,-0.447552,2.30127
-0.706286,-0.271586,0.653759,2.57559,-0.401596,2.30955
-0.721677,-0.202916,0.661821,2.56469,-0.354582,2.3154
-0.734386,-0.126482,0.666843,2.55616,-0.306861,2.31906
-0.743685,-0.0353438,0.667596,2.55056,-0.258579,2.32006
-0.746755,0.0595036,0.662432,2.54844,-0.210056,2.31793
-0.739276,0.193305,0.645061,2.61035,-0.156198,2.37977
-0.719632,0.318145,0.617183,2.61763,-0.109269,2.36937
-0.682214,0.454934,0.57238,2.62962,-0.0644268,2.35493
-0.627051,0.587015,0.512075,2.64701,-0.0231762,2.33596
-0.603705,0.63088,0.487372,2.60946,0.00775306,2.24942
-0.58196,0.667194,0.464945,2.61122,0.00911733,2.24984
-0.556404,0.705454,0.439032,2.66837,0.0144192,2.31376
-0.534486,0.735224,0.416858,2.64737,0.030818,2.25791
-0.534489,0.735222,0.416858,2.63864,0.0255013,2.2561
-0.514738,0.759807,0.397161,2.66977,0.0450177,2.26158
-0.534497,0.735215,0.416859,2.65537,0.0358139,2.25936
-0.50007,0.776763,0.382843,2.69372,0.0472401,2.28837
-0.534491,0.73522,0.416858,2.65147,0.0333144,2.25877
-0.47301,0.805839,0.356209,2.71454,0.068463,2.268
-0.473095,0.805831,0.356115,2.6854,0.053205,2.26382
0.471931,-0.806987,-0.35504,3.13502,-0.696057,1.95505
